family,step,appearance,token_name,design_hex,design_oklch_l,design_oklch_c,design_oklch_h,design_oklch_alpha,ios_reference_status,ios_p3_r,ios_p3_g,ios_p3_b,ios_p3_alpha,android_reference_status,android_strategy,android_color_space,android_hex,android_r,android_g,android_b,android_alpha,figma_node_or_variable,notes
blue-spruce-green,1000,default,blue-spruce-green-1000,#3b8f70,0.59,0.0953,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11286,
blue-spruce-green,1100,default,blue-spruce-green-1100,#2f7f62,0.54,0.0906,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11302,
blue-spruce-green,1200,default,blue-spruce-green-1200,#236950,0.47,0.0813,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11318,
blue-spruce-green,1300,default,blue-spruce-green-1300,#1a533f,0.40,0.0688,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11334,
blue-spruce-green,1400,default,blue-spruce-green-1400,#143528,0.30,0.0455,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11350,
blue-spruce-green,1500,default,blue-spruce-green-1500,#011c12,0.20,0.04,166,1.0,not-provided,,,,,not-provided,,,,,,,,858:11366,
sage-green,010,default,sage-green-010,#f5fef9,0.99,0.012,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11400,
sage-green,050,default,sage-green-050,#f0faf3,0.975,0.0136,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11416,
sage-green,100,default,sage-green-100,#e6f4eb,0.955,0.0199,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11432,
sage-green,200,default,sage-green-200,#daeee1,0.93,0.0269,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11448,
sage-green,300,default,sage-green-300,#cce5d5,0.90,0.0344,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11464,
sage-green,400,default,sage-green-400,#bfddca,0.87,0.0407,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11480,
sage-green,500,default,sage-green-500,#b3d4bf,0.84,0.0458,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11496,
sage-green,600,default,sage-green-600,#a3c8b1,0.80,0.0509,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11512,
sage-green,700,default,sage-green-700,#93baa3,0.755,0.0542,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11528,
sage-green,800,default,sage-green-800,#82a992,0.7,0.0549,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11544,
sage-green,850,default,sage-green-850,#769d86,0.66,0.0545,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11560,
sage-green,900,default,sage-green-900,#6e937d,0.63,0.0538,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11576,
sage-green,1000,default,sage-green-1000,#638771,0.59,0.0525,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11592,
sage-green,1100,default,sage-green-1100,#567864,0.54,0.0502,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11608,
sage-green,1200,default,sage-green-1200,#456351,0.47,0.0457,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11624,
sage-green,1300,default,sage-green-1300,#354e40,0.40,0.0397,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11640,
sage-green,1400,default,sage-green-1400,#223228,0.30,0.0286,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11656,
sage-green,1500,default,sage-green-1500,#0d1912,0.20,0.022,158,1.0,not-provided,,,,,not-provided,,,,,,,,858:11672,
success-green,010,default,success-green-010,#f6fff6,0.99,0.015,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11706,
success-green,050,default,success-green-050,#eefbee,0.975,0.0222,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11722,
success-green,100,default,success-green-100,#e3f6e4,0.955,0.0314,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11738,
success-green,200,default,success-green-200,#d7f0d7,0.93,0.0422,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11754,
success-green,300,default,success-green-300,#c8e8c9,0.90,0.0542,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11770,
success-green,400,default,success-green-400,#bae0bb,0.87,0.0652,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11786,
success-green,500,default,success-green-500,#acd8ae,0.84,0.075,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11802,
success-green,600,default,success-green-600,#9acd9d,0.80,0.0865,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11818,
success-green,700,default,success-green-700,#87c08a,0.755,0.0971,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11834,
success-green,800,default,success-green-800,#71b076,0.7,0.1068,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11850,
success-green,850,default,success-green-850,#62a468,0.66,0.1116,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11866,
success-green,900,default,success-green-900,#589b5e,0.63,0.1139,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11882,
success-green,1000,default,success-green-1000,#4b8f52,0.59,0.1153,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11898,
success-green,1100,default,success-green-1100,#3d8044,0.54,0.1141,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11914,
success-green,1200,default,success-green-1200,#2d6a34,0.47,0.1061,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11930,
success-green,1300,default,success-green-1300,#1e5525,0.40,0.096,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11946,
success-green,1400,default,success-green-1400,#1a351c,0.30,0.0554,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11962,
success-green,1500,default,success-green-1500,#151715,0.20,0.005,146,1.0,not-provided,,,,,not-provided,,,,,,,,858:11978,
highlight-lichen,010,default,highlight-lichen-010,#f7ffdc,0.99,0.0266,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12012,
highlight-lichen,050,default,highlight-lichen-050,#f1fecc,0.975,0.0768,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12028,
highlight-lichen,100,default,highlight-lichen-100,#e5fd9c,0.955,0.1321,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12044,
highlight-lichen,200,default,highlight-lichen-200,#d9f963,0.93,0.1823,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12060,
highlight-lichen,300,default,highlight-lichen-300,#cdf107,0.90,0.2149,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12076,
highlight-lichen,400,default,highlight-lichen-400,#c3e700,0.87,0.2199,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12092,
highlight-lichen,500,default,highlight-lichen-500,#badd00,0.84,0.2188,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12108,
highlight-lichen,600,default,highlight-lichen-600,#aecf00,0.80,0.2155,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12124,
highlight-lichen,700,default,highlight-lichen-700,#a1c000,0.755,0.2091,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12140,
highlight-lichen,800,default,highlight-lichen-800,#91ad00,0.7,0.1978,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12156,
highlight-lichen,850,default,highlight-lichen-850,#85a000,0.66,0.1869,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12172,
highlight-lichen,900,default,highlight-lichen-900,#7d9600,0.63,0.1774,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12188,
highlight-lichen,1000,default,highlight-lichen-1000,#728900,0.59,0.1629,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12204,
highlight-lichen,1100,default,highlight-lichen-1100,#657900,0.54,0.1417,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12220,
highlight-lichen,1200,default,highlight-lichen-1200,#54630c,0.47,0.1064,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12236,
highlight-lichen,1300,default,highlight-lichen-1300,#434d23,0.40,0.0645,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12252,
highlight-lichen,1400,default,highlight-lichen-1400,#2a320b,0.30,0.0600,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12268,
highlight-lichen,1500,default,highlight-lichen-1500,#131900,0.20,0.0600,120,1.0,not-provided,,,,,not-provided,,,,,,,,858:12284,
appex-moss,010,default,appex-moss-010,#faffdb,0.99,0.0501,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12318,
appex-moss,050,default,appex-moss-050,#f4fdc8,0.975,0.0701,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12334,
appex-moss,100,default,appex-moss-100,#ecf9af,0.955,0.0944,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12350,
appex-moss,200,default,appex-moss-200,#e3f292,0.93,0.1210,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12366,
appex-moss,300,default,appex-moss-300,#d9ea71,0.90,0.1473,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12382,
appex-moss,400,default,appex-moss-400,#cfe14f,0.87,0.1676,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12398,
appex-moss,500,default,appex-moss-500,#c5d82a,0.84,0.1818,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12414,
appex-moss,600,default,appex-moss-600,#b9cb00,0.80,0.1912,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12430,
appex-moss,700,default,appex-moss-700,#abbd00,0.755,0.1913,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12446,
appex-moss,800,default,appex-moss-800,#9aaa00,0.7,0.1868,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12462,
appex-moss,850,default,appex-moss-850,#8e9d00,0.66,0.1807,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12478,
appex-moss,900,default,appex-moss-900,#859400,0.63,0.1746,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12494,
appex-moss,1000,default,appex-moss-1000,#7a8700,0.59,0.1644,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12510,
appex-moss,1100,default,appex-moss-1100,#6c7700,0.54,0.1484,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12526,
appex-moss,1200,default,appex-moss-1200,#586200,0.47,0.1200,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12542,
appex-moss,1300,default,appex-moss-1300,#464d0c,0.40,0.0844,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12558,
appex-moss,1400,default,appex-moss-1400,#2d3115,0.30,0.0450,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12574,
appex-moss,1500,default,appex-moss-1500,#151800,0.20,0.0450,116,1.0,not-provided,,,,,not-provided,,,,,,,,858:12590,
golden-moss,010,default,golden-moss-010,#fcfcf7,0.99,0.006,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12624,
golden-moss,050,default,golden-moss-050,#f8f8eb,0.975,0.0170,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12640,
golden-moss,100,default,golden-moss-100,#f4f2d5,0.955,0.0376,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12656,
golden-moss,200,default,golden-moss-200,#eeebbc,0.93,0.0605,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12672,
golden-moss,300,default,golden-moss-300,#e7e1a0,0.90,0.0840,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12688,
golden-moss,400,default,golden-moss-400,#dfd887,0.87,0.1031,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12704,
golden-moss,500,default,golden-moss-500,#d7ce6f,0.84,0.1178,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12720,
golden-moss,600,default,golden-moss-600,#ccc255,0.80,0.1305,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12736,
golden-moss,700,default,golden-moss-700,#beb33e,0.755,0.1355,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12752,
golden-moss,800,default,golden-moss-800,#ada22b,0.7,0.1340,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12768,
golden-moss,850,default,golden-moss-850,#a0951d,0.66,0.1310,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12784,
golden-moss,900,default,golden-moss-900,#968c15,0.63,0.1277,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12800,
golden-moss,1000,default,golden-moss-1000,#8a800b,0.59,0.1219,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12816,
golden-moss,1100,default,golden-moss-1100,#7a7105,0.54,0.1125,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12832,
golden-moss,1200,default,golden-moss-1200,#645d0b,0.47,0.0950,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12848,
golden-moss,1300,default,golden-moss-1300,#4e4913,0.40,0.0727,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12864,
golden-moss,1400,default,golden-moss-1400,#302f1b,0.30,0.0323,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12880,
golden-moss,1500,default,golden-moss-1500,#181706,0.20,0.0300,104,1.0,not-provided,,,,,not-provided,,,,,,,,858:12896,
membership-yellow,010,default,membership-yellow-010,#fefcf3,0.99,0.0115,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:12930,
membership-yellow,050,default,membership-yellow-050,#fcf7e3,0.975,0.0269,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:12946,
membership-yellow,100,default,membership-yellow-100,#fff0b1,0.955,0.0819,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:12962,
membership-yellow,200,default,membership-yellow-200,#ffe776,0.93,0.1359,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:12978,
membership-yellow,300,default,membership-yellow-300,#ffdb22,0.90,0.1791,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:12994,
membership-yellow,400,default,membership-yellow-400,#fdd000,0.87,0.1987,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13010,
membership-yellow,500,default,membership-yellow-500,#f2c700,0.84,0.1998,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13026,
membership-yellow,600,default,membership-yellow-600,#e3ba00,0.80,0.1985,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13042,
membership-yellow,700,default,membership-yellow-700,#d2ac00,0.755,0.1956,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13058,
membership-yellow,800,default,membership-yellow-800,#be9b00,0.7,0.1897,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13074,
membership-yellow,850,default,membership-yellow-850,#b08f00,0.66,0.1839,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13090,
membership-yellow,900,default,membership-yellow-900,#a58600,0.63,0.1787,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13106,
membership-yellow,1000,default,membership-yellow-1000,#987b00,0.59,0.1706,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13122,
membership-yellow,1100,default,membership-yellow-1100,#876c00,0.54,0.1587,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13138,
membership-yellow,1200,default,membership-yellow-1200,#6f5900,0.47,0.1387,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13154,
membership-yellow,1300,default,membership-yellow-1300,#594600,0.40,0.1147,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13170,
membership-yellow,1400,default,membership-yellow-1400,#392c00,0.30,0.0736,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13186,
membership-yellow,1500,default,membership-yellow-1500,#171614,0.20,0.05,95,1.0,not-provided,,,,,not-provided,,,,,,,,858:13202,
warning-yellow,010,default,warning-yellow-010,#fffcf0,0.99,0.0163,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13236,
warning-yellow,050,default,warning-yellow-050,#fef7e1,0.975,0.0288,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13252,
warning-yellow,100,default,warning-yellow-100,#fbf0cf,0.955,0.0446,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13268,
warning-yellow,200,default,warning-yellow-200,#f7e7b9,0.93,0.0628,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13284,
warning-yellow,300,default,warning-yellow-300,#f2dd9f,0.90,0.0825,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13300,
warning-yellow,400,default,warning-yellow-400,#ecd386,0.87,0.0998,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13316,
warning-yellow,500,default,warning-yellow-500,#e5c86e,0.84,0.1148,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13332,
warning-yellow,600,default,warning-yellow-600,#d9b74b,0.79,0.1311,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13348,
warning-yellow,700,default,warning-yellow-700,#d0ac27,0.755,0.1444,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13364,
warning-yellow,800,default,warning-yellow-800,#c19a00,0.7,0.1534,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13380,
warning-yellow,850,default,warning-yellow-850,#b48d00,0.66,0.1550,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13396,
warning-yellow,900,default,warning-yellow-900,#a98400,0.63,0.1540,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13412,
warning-yellow,1000,default,warning-yellow-1000,#9b7900,0.59,0.1505,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13428,
warning-yellow,1100,default,warning-yellow-1100,#8a6a00,0.54,0.1426,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13444,
warning-yellow,1200,default,warning-yellow-1200,#725700,0.47,0.1247,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13460,
warning-yellow,1300,default,warning-yellow-1300,#5b4500,0.40,0.0991,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13476,
warning-yellow,1400,default,warning-yellow-1400,#372d0d,0.30,0.0489,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13492,
warning-yellow,1500,default,warning-yellow-1500,#1d1500,0.20,0.04,92,1.0,not-provided,,,,,not-provided,,,,,,,,858:13508,
natural-grey,010,default,natural-grey-010,#fdfcf9,0.99,0.004,89,1.0,not-provided,,,,,not-provided,,,,,,,,858:13542,
natural-grey,050,default,natural-grey-050,#f8f7f2,0.975,0.0062,89,1.0,not-provided,,,,,not-provided,,,,,,,,858:13558,
natural-grey,100,default,natural-grey-100,#f4f0e6,0.955,0.0141,89,1.0,not-provided,,,,,not-provided,,,,,,,,858:13574,
